Channel_Name,yt_url,subscribers,Check_Date,Released_Date,is_posted_in_date_range,Shorts_Name,Description,Likes,Views,short_url
태권히어로,https://www.youtube.com/channel/UCc_M-nuAdohrsoee0ngM5sA,449K subscribers,06-05-2024,May 06 2024,Yes,이거 알아?,,"265
","378
",https://www.youtube.com/shorts/5JfoMIs3C8Y
태권히어로,https://www.youtube.com/channel/UCc_M-nuAdohrsoee0ngM5sA,449K subscribers,06-05-2024,May 06 2024,Yes,강희의 오버헤드킥!!!,,"102
","1,220
",https://www.youtube.com/shorts/VvXnXcPOWOY
태권히어로,https://www.youtube.com/channel/UCc_M-nuAdohrsoee0ngM5sA,449K subscribers,06-05-2024,May 06 2024,Yes,홍어에 도전한드앗!! #홍어,,"152
","4,937
",https://www.youtube.com/shorts/xWYaHil7zsE
