chanel_name,yt_url,subscribers,check_date,released_date,is_posted_in_date_range,shorts_name,description,likes,views,short_url,thumbnail_link
홍현희 제이쓴의 홍쓴TV,https://www.youtube.com/channel/UC2E-9AQ-kwOFlvvXLfY6V8Q,604000,21-08-2024,Aug 18 2024,No,"행사, 공연 문의 DM주세요.... #준범이 #생일","행사, 공연 문의 DM주세요.... #준범이 #생일",514,"16,379",https://www.youtube.com/shorts/zWRuyqUT7vU,https://i.ytimg.com/vi/zWRuyqUT7vU/oar2.jpg?sqp=-oaymwEdCJUDENAFSFWQAgHyq4qpAwwIARUAAIhCcAHAAQY=&rs=AOn4CLB-yOqNokEmdnyefWG-QB15tA72HQ
허준선생TV,https://www.youtube.com/channel/UCSj7NieW8raPLSzMx069dLA,184000,21-08-2024,Aug 12 2024,No,한여름 거창산길,한여름 거창산길,32,586,https://www.youtube.com/shorts/2U_pB83wuQQ,https://i.ytimg.com/vi/2U_pB83wuQQ/oar2.jpg?sqp=-oaymwEdCJUDENAFSFWQAgHyq4qpAwwIARUAAIhCcAHAAQY=&rs=AOn4CLABpXKY_qAAJ3rF-UAb4neXEmOM7Q
여기있슈,https://www.youtube.com/channel/UCnn7WqIi0m8atp672UXFVuw,133000,21-08-2024,Aug 19 2024,No,결국 재결합 환승연애3 주원 서경 커플,결국 재결합 환승연애3 주원 서경 커플,36,"7,490",https://www.youtube.com/shorts/aSkwAPDzO9c,https://i.ytimg.com/vi/aSkwAPDzO9c/oardefault.jpg?sqp=-oaymwEdCJUDENAFSFWQAgHyq4qpAwwIARUAAIhCcAHAAQY=&rs=AOn4CLDni3FavYBxNHd9g-JTm6-xP4pVcA
Tei's Happy House,https://www.youtube.com/channel/UCeUisiec4oauZ7ngZ-FSOCQ,142000,21-08-2024,Jul 04 2024,No,k-pop dance #kpopdance #kpop #dance,k-pop dance #kpopdance #kpop #dance,26,"9,831",https://www.youtube.com/shorts/j8AP3DYOACE,https://i.ytimg.com/vi/j8AP3DYOACE/oar2.jpg?sqp=-oaymwEdCJUDENAFSFWQAgHyq4qpAwwIARUAAIhCcAHAAQY=&rs=AOn4CLCP06vLNN8aqDHLZ2lMbVOpY4pZvw
