chanel_name,yt_url,subscribers,check_date,released_date,is_posted_in_date_range,shorts_name,description,likes,views,short_url,thumbnail_link
BBQ 세상에서 가장 맛있는 치킨,https://www.youtube.com/channel/UCtBEvLjoJerm7jstvWRuA9Q,24500,21-08-2024,Aug 14 2024,Yes,🐔말복엔 땡숯이 딹!이지👍🏻,"여름의 마지막 축제🎊
말복이닭!🥳

뜨거운 태양 아래 시원한 바람을 즐길 최고의 별미🌬
말복엔 땡숯이 딹!이지!🌶

땡초의 매운맛과 진한 감칠맛, 숯불 향이 조화를 이룬🌶
BBQ만의 특제 소스를 더한 땡초숯불양념치킨🍗
 
한입 베어 물면, 매콤달콤한 맛이 입안 가득 퍼지며
여름 더위를 잊게 해준다고요!☀

말복에 BBQ앱으로 전 메뉴 주문하면🍗치킨왕 프로모션으로 4,000원 혜택 드려요바로 오늘! BBQ앱으로 치킨 주문하러 가볼까요?모두 말복을 BBQ와 함께 이겨내 보아요 ლ(╹◡╹ლ)

Best of the Best Quality, BBQ

🎁댓글 이벤트🎁
게시물 좋아요 누르고, 댓글에 말복을 맞아 함께 땡숯 즐길 사람 소환해줘! 🙋‍♀

💝당첨자 경품💝
추첨을 통해 무려..! 10명에게 [땡초숯불양념치킨+콜라1.25L]을 보내드립니다.

🌟당첨 꿀TIP🌟
해당 이벤트를 스토리로 공유하면 당첨 확률 UP!UP!

참여기한 : 2024년 8월 16일(금)까지

* 해당 게시물 좋아요& 본 계정 팔로우해주신 분(공개계정)에 한해 이벤트 참여 인정됩니다.
* 해당 이벤트 발표는 스토리로 발표 후 개별 DM으로 연락드립니다.
Show more",9,88,https://www.youtube.com/shorts/7uTg0Mmi7DA,https://i.ytimg.com/vi/7uTg0Mmi7DA/oar2.jpg?sqp=-oaymwEdCNAFENAFSFWQAgHyq4qpAwwIARUAAIhCcAHAAQY=&rs=AOn4CLBiCFsqHUnlv6eCoTRDAKm59qzuzA
나무엑터스 NAMOOACTORS Official,https://www.youtube.com/channel/UC6Tk38ZGAYsOdou2X0pLChA,447000,21-08-2024,Aug 14 2024,Yes,CHOI HYO JU(최효주) Profile Behind Film #Shorts,"#최효주 #CHOIHYOJU

■ NAMOOACTORS Official Web: http://www.namooactors.com
■ instagram: https://www.instagram.com/namooactors/
■ twitter: http://www.twitter.com/namooactors2004",45,561,https://www.youtube.com/shorts/G13gvgtq5s8,https://i.ytimg.com/vi/G13gvgtq5s8/oardefault.jpg?sqp=-oaymwEdCJUDENAFSFWQAgHyq4qpAwwIARUAAIhCcAHAAQY=&rs=AOn4CLDbt6BGihu6nc_5wBfKc9pvJ_sp1g
여신짤짤,https://www.youtube.com/channel/UCjNlgoZ66sx_F2J845nVOOQ,85600,21-08-2024,Aug 21 2024,Yes,깜놀 윈터 귀여워,#윈터 #에스파 #에스파윈터 #아이돌 #aespa #winter,186,"2,655",https://www.youtube.com/shorts/qhxyCrbHr8U,https://i.ytimg.com/vi/qhxyCrbHr8U/oardefault.jpg?sqp=-oaymwEdCJUDENAFSFWQAgHyq4qpAwwIARUAAIhCcAHAAQY=&rs=AOn4CLDgqE_uMgJmnrrI3qh_ZABp6UCqUg
여신짤짤,https://www.youtube.com/channel/UCjNlgoZ66sx_F2J845nVOOQ,85600,21-08-2024,Aug 21 2024,Yes,난해한 패션의 민지,#민지 #김민지 #뉴진스민지 #뉴진스 #아이돌 #newjeans,197,"4,391",https://www.youtube.com/shorts/9IdrXT2eQ_o,https://i.ytimg.com/vi/9IdrXT2eQ_o/oardefault.jpg?sqp=-oaymwEdCJUDENAFSFWQAgHyq4qpAwwIARUAAIhCcAHAAQY=&rs=AOn4CLCygvcycZPue66j0eZhtVVbuxHaVQ
여신짤짤,https://www.youtube.com/channel/UCjNlgoZ66sx_F2J845nVOOQ,85600,21-08-2024,Aug 21 2024,Yes,카리나가 말해주는 집착의 뜻,#카리나 #에스파 #에스파카리나 #아이돌 #aespa #karina,778,"14,093",https://www.youtube.com/shorts/D6XdSNTRtso,https://i.ytimg.com/vi/D6XdSNTRtso/oardefault.jpg?sqp=-oaymwEdCJUDENAFSFWQAgHyq4qpAwwIARUAAIhCcAHAAQY=&rs=AOn4CLCPn3IwnC0N4x53iK78li6njBZa8g
스튜디오 컴온 : STUDIO COME ON,https://www.youtube.com/channel/UC8B3W79lBivZgGbFD1geKkg,65400,21-08-2024,Aug 21 2024,Yes,장난 쳤을때 여친과 아내의 온도차이!#철없는남자,장난 쳤을때 여친과 아내의 온도차이!#철없는남자,259,"7,265",https://www.youtube.com/shorts/EUSEmVkGPqo,https://i.ytimg.com/vi/EUSEmVkGPqo/oardefault.jpg?sqp=-oaymwEdCJUDENAFSFWQAgHyq4qpAwwIARUAAIhCcAHAAQY=&rs=AOn4CLDOGqyoKGSoLDkD8lVwzI6yzqx9Gg
