chanel_name,yt_url,subscribers,check_date,released_date,is_posted_in_date_range,shorts_name,description,likes,views,short_url
다파는오빠들- 바이크 슈퍼카 세계여행,https://www.youtube.com/channel/UCaPPXbObO5CI44EF84V6oeQ,13600,18-05-2024,Apr 27 2024,No,2020년 37000km 할리데이비슨 로드글라이더 리미티드,2020년 37000km 할리데이비슨 로드글라이더 리미티드,32,"3,723",https://www.youtube.com/shorts/r5g-1-nYPNc
DBOKEY,https://www.youtube.com/channel/UC7sx1RF3mOdOaQdf7eWP8aA,189000,18-05-2024,May 02 2024,No,Why keyboards use metal materials differently,"This is why we use two metal materials in our keyboards.
#keyboard #customkeyboard

ⓒ 드보키 DBOKEY. all rights reserved.",485,"25,571",https://www.youtube.com/shorts/WhySIb7_a7U
Worldwide Story,https://www.youtube.com/channel/UCTSPGY1ng7awtBjCqpFOemg,6170,18-05-2024,Mar 19 2024,No,여의도 벚꽃축제,"서울 여의도 봄꽃축제가 3월29일부터 4월 2일까지 열립니다. 
장소는 여의서로 서강대교 남단~여의2교 입구 1.7㎞ 구간과 여의서로 하부 한강공원 국회축구장에서 열립니다.
#벚꽃축제#봄꽃축제 #여의도벚꽃축제#여의도",1,"1,426",https://www.youtube.com/shorts/DrbPUFXsv-Q
EVERGLOW,https://www.youtube.com/channel/UCVXzBnzP5i5W-3snrxu8kfg,1940000,18-05-2024,May 07 2024,No,🐺🖤 #EVERGLOW #에버글로우 #시현 #SIHYEON #ALL_MY_GIRLS_IN_JAPAN #Shorts,🐺🖤 #EVERGLOW #에버글로우 #시현 #SIHYEON #ALL_MY_GIRLS_IN_JAPAN #Shorts,1.3K,"4,924",https://www.youtube.com/shorts/AmqFRiNpDX4
펭귄대마왕,https://www.youtube.com/channel/UCZh2Me61EttULn9q4sP_EWg,12100,18-05-2024,Mar 03 2024,No,손나 바나나!,손나 바나나!,28,"2,662",https://www.youtube.com/shorts/RBj6AFa8V7Q
